BW    336 #MHz
FRES  1 #MHz
NFRB 7694 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 7518   339.3  35    254.3  0.335    14.3    2.0
FRB 7519   576.1  35    491.1  0.311    15.0    2.0
FRB 7521   509.6  35    424.6  0.305    10.1    3.0
FRB 7523   340.6  35    255.6  0.023    18.3    4.0
FRB 7524   168.0  35     83.0  0.057    57.3    0.0
FRB 7525   208.9  35    123.9  0.053   107.7    4.0
FRB 7526   243.6  35    158.6  0.188     9.4    1.0
FRB 7527   281.8  35    196.8  0.043    21.4    2.0
FRB 7528   520.8  35    435.8  0.341    25.2    3.0
FRB 7530   450.1  35    365.1  0.145    14.7    2.0
FRB 7531   220.8  35    135.8  0.161    12.1    2.0
FRB 7533   585.9  35    500.9  0.438    10.4    3.0
FRB 7535   595.3  35    510.3  0.236    11.1    2.0
FRB 7537   475.4  35    390.4  0.209     9.6    0.0
FRB 7538   594.3  35    509.3  0.459    16.6    1.0
FRB 7540   234.3  35    149.3  0.136     9.5    4.0
FRB 7542   218.8  35    133.8  0.116    14.7    1.0
FRB 7543   281.8  35    196.8  0.199    11.2    0.0
FRB 7544   210.2  35    125.2  0.041    26.9    5.0
FRB 7546   657.2  35    572.2  0.521     9.4    2.0
FRB 7547   182.3  35     97.3  0.014    15.1    3.0
FRB 7549   414.2  35    329.2  0.045     9.7    5.0
FRB 7551   668.7  35    583.7  0.445    14.6    4.0
FRB 7552   345.9  35    260.9  0.133    25.3    1.0
FRB 7553   427.6  35    342.6  0.367     9.4    2.0
FRB 7554   433.8  35    348.8  0.378    22.9    2.0
FRB 7555  1383.6  35   1298.6  0.362    79.7    1.0
FRB 7556   181.7  35     96.7  0.090    15.3    2.0
FRB 7558   343.6  35    258.6  0.277    26.7    3.0
FRB 7559   345.4  35    260.4  0.298     9.6    3.0
FRB 7560   704.7  35    619.7  0.587    24.8    3.0
FRB 7561   545.1  35    460.1  0.411    20.5    3.0
FRB 7562   235.9  35    150.9  0.142    19.3    1.0
FRB 7564   314.4  35    229.4  0.132   110.3    3.0
FRB 7565   360.8  35    275.8  0.254    11.4    3.0
FRB 7566   184.2  35     99.2  0.057   404.0    2.0
FRB 7567   838.5  35    753.5  0.309    15.6    2.0
FRB 7569   620.9  35    535.9  0.166    12.6    2.0
FRB 7570   195.6  35    110.6  0.118    14.7    5.0
FRB 7571   696.8  35    611.8  0.217    19.8    2.0
FRB 7572   455.2  35    370.2  0.432    19.3    4.0
FRB 7573   415.4  35    330.4  0.471    40.4    3.0
FRB 7574   393.4  35    308.4  0.033    56.8    2.0
FRB 7576   221.2  35    136.2  0.137    18.5    3.0
FRB 7577   370.1  35    285.1  0.342    18.4    3.0
FRB 7578   375.3  35    290.3  0.383    11.5    2.0
FRB 7579   298.4  35    213.4  0.281    14.3    1.0
FRB 7580   336.9  35    251.9  0.099    17.2    2.0
FRB 7581   581.4  35    496.4  0.479    18.8    0.0
FRB 7582   290.4  35    205.4  0.252    16.2    2.0
FRB 7583   277.4  35    192.4  0.152    14.1    3.0
FRB 7584   322.7  35    237.7  0.232    97.9    2.0
FRB 7585   377.1  35    292.1  0.233    16.8    2.0
FRB 7587   434.5  35    349.5  0.451    96.5    2.0
FRB 7588   681.4  35    596.4  0.200    16.1    2.0
FRB 7589   413.2  35    328.2  0.351    50.7    1.0
FRB 7590   985.6  35    900.6  0.148    23.6    2.0
FRB 7591   238.2  35    153.2  0.161    11.0    1.0
FRB 7592   614.5  35    529.5  0.089    15.2    4.0
FRB 7593   500.0  35    415.0  0.567    15.8    2.0
FRB 7594   179.1  35     94.1  0.015    26.4    3.0
FRB 7595   304.0  35    219.0  0.290    23.1    2.0
FRB 7596   560.2  35    475.2  0.304    14.1    1.0
FRB 7597   376.1  35    291.1  0.079    35.5    2.0
FRB 7598   175.4  35     90.4  0.005    16.3    1.0
FRB 7600   313.5  35    228.5  0.210    21.1    1.0
FRB 7601   260.0  35    175.0  0.229    33.3    1.0
FRB 7602   405.4  35    320.4  0.322    13.7    2.0
FRB 7604   444.8  35    359.8  0.506    57.3    2.0
FRB 7605  2524.5  35   2439.5  0.209    15.2    3.0
FRB 7606   229.1  35    144.1  0.031    11.6    3.0
FRB 7607   552.0  35    467.0  0.130    27.6    4.0
FRB 7609   919.0  35    834.0  0.112    12.2    1.0
FRB 7611   223.8  35    138.8  0.096    10.4    5.0
FRB 7613   569.9  35    484.9  0.086    13.5    4.0
FRB 7614   233.9  35    148.9  0.005    32.4    3.0
FRB 7616   319.1  35    234.1  0.172    10.7    4.0
FRB 7617   297.8  35    212.8  0.062    15.3    3.0
FRB 7619   678.3  35    593.3  0.308     9.6    2.0
FRB 7621   514.7  35    429.7  0.491     9.8    1.0
FRB 7623   272.7  35    187.7  0.007    26.6    2.0
FRB 7624   371.7  35    286.7  0.235    14.0    1.0
FRB 7625   259.7  35    174.7  0.076    64.3    1.0
FRB 7626   588.0  35    503.0  0.548    11.9    1.0
FRB 7628   455.3  35    370.3  0.081    10.4    0.0
FRB 7629   211.2  35    126.2  0.171    14.0    3.0
FRB 7630   159.4  35     74.4  0.007    25.4    2.0
FRB 7631   237.2  35    152.2  0.065    21.4    5.0
FRB 7632   253.2  35    168.2  0.148    15.5    1.0
FRB 7633   192.0  35    107.0  0.014   276.4    3.0
FRB 7634   357.0  35    272.0  0.065    25.4    3.0
FRB 7635   395.9  35    310.9  0.427    14.1    3.0
FRB 7637   168.5  35     83.5  0.087    27.0    3.0
FRB 7638   174.0  35     89.0  0.076    16.8    3.0
FRB 7639   471.8  35    386.8  0.507     9.1    1.0
FRB 7641   876.8  35    791.8  0.093    13.2    2.0
FRB 7642   223.0  35    138.0  0.158    20.9    1.0
FRB 7644   204.5  35    119.5  0.079    39.9    3.0
FRB 7645   388.9  35    303.9  0.354    11.5    2.0
FRB 7646   220.8  35    135.8  0.071   122.1    1.0
FRB 7648   274.2  35    189.2  0.128    48.7    3.0
FRB 7649   527.4  35    442.4  0.411    17.0    2.0
FRB 7650   589.9  35    504.9  0.460    11.7    3.0
FRB 7651   545.1  35    460.1  0.409    26.1    3.0
FRB 7652   211.4  35    126.4  0.096    17.2    2.0
FRB 7654   153.0  35     68.0  0.037   1974.1    1.0
FRB 7655   310.9  35    225.9  0.109    10.8    1.0
FRB 7656   467.2  35    382.2  0.025    29.9    3.0
FRB 7658   626.6  35    541.6  0.146    11.0    0.0
FRB 7659   466.8  35    381.8  0.268    15.3    2.0
FRB 7660   916.3  35    831.3  0.641    15.8    2.0
FRB 7661   590.9  35    505.9  0.287    26.6    2.0
FRB 7663   271.4  35    186.4  0.185    14.2    3.0
FRB 7664   228.4  35    143.4  0.034    16.4    3.0
FRB 7665   261.2  35    176.2  0.197    13.8    1.0
FRB 7666   481.0  35    396.0  0.370    16.8    2.0
FRB 7668   745.3  35    660.3  0.183    17.1    4.0
FRB 7669   413.4  35    328.4  0.104    54.1    4.0
FRB 7670   612.4  35    527.4  0.207     9.4    2.0
FRB 7671   491.2  35    406.2  0.186    36.0    2.0
FRB 7673   664.4  35    579.4  0.196    12.4    3.0
FRB 7674   357.1  35    272.1  0.169    15.5    4.0
FRB 7675  1560.7  35   1475.7  0.336    37.4    2.0
FRB 7677   633.2  35    548.2  0.254    13.7    4.0
FRB 7679   325.4  35    240.4  0.057    81.0    2.0
FRB 7680   803.1  35    718.1  0.284    11.7    3.0
FRB 7681   323.2  35    238.2  0.148    85.7    1.0
FRB 7682   205.4  35    120.4  0.057    16.9    2.0
FRB 7683   216.9  35    131.9  0.039    64.2    1.0
FRB 7685   568.2  35    483.2  0.370    20.8    2.0
FRB 7686   229.7  35    144.7  0.015    27.8    2.0
FRB 7687   214.4  35    129.4  0.133    12.7    5.0
FRB 7688   243.0  35    158.0  0.005   112.5    3.0
FRB 7689   227.1  35    142.1  0.031    14.0    4.0
FRB 7691   363.9  35    278.9  0.081   331.7    1.0
FRB 7692  1376.2  35   1291.2  0.455     9.8    3.0
FRB 7694   397.0  35    312.0  0.146    13.7    3.0
FRB 7696   376.8  35    291.8  0.343    12.2    2.0
FRB 7697   236.9  35    151.9  0.109    53.9    2.0
FRB 7699   604.4  35    519.4  0.254    17.4    2.0
FRB 7700   427.3  35    342.3  0.084    14.2    4.0
FRB 7701   561.4  35    476.4  0.516    13.0    3.0
FRB 7703   547.7  35    462.7  0.617     9.3    2.0
FRB 7704   426.4  35    341.4  0.263    39.4    3.0
FRB 7706   330.2  35    245.2  0.152    40.4    1.0
FRB 7707   264.7  35    179.7  0.207    32.4    2.0
FRB 7708   678.1  35    593.1  0.349    10.9    1.0
FRB 7710   783.3  35    698.3  0.529    10.3    2.0
FRB 7711   385.6  35    300.6  0.139    22.0    4.0
FRB 7712   417.9  35    332.9  0.092    19.6    2.0
FRB 7713   413.4  35    328.4  0.322    15.1    2.0
FRB 7714   663.6  35    578.6  0.145    14.8    2.0
FRB 7715   377.1  35    292.1  0.356    14.5    2.0
FRB 7716   417.7  35    332.7  0.217    46.6    4.0
FRB 7718   226.3  35    141.3  0.243     9.9    4.0
FRB 7719   493.3  35    408.3  0.360    15.1    2.0
FRB 7721   122.0  35     37.0  0.054    16.7    2.0
FRB 7722   462.3  35    377.3  0.403    12.3    1.0
FRB 7723   848.1  35    763.1  0.392    31.5    2.0
FRB 7725   364.6  35    279.6  0.230    55.3    3.0
FRB 7726   309.0  35    224.0  0.043    19.5    4.0
FRB 7727   429.9  35    344.9  0.083    11.2    3.0
FRB 7729   461.8  35    376.8  0.399    15.3    3.0
FRB 7730   133.5  35     48.5  0.009     9.6    2.0
FRB 7732   550.3  35    465.3  0.401    11.6    3.0
FRB 7734   224.7  35    139.7  0.009    11.3    3.0
FRB 7735  1032.3  35    947.3  0.195    35.1    1.0
FRB 7737   369.0  35    284.0  0.360    26.2    2.0
FRB 7738   735.2  35    650.2  0.227    17.3    2.0
FRB 7739   246.1  35    161.1  0.158    21.7    4.0
FRB 7740   285.7  35    200.7  0.273    19.4    3.0
FRB 7741   736.7  35    651.7  0.409    11.6    2.0
FRB 7743   254.3  35    169.3  0.220    56.9    4.0
FRB 7744   471.0  35    386.0  0.276    90.7    2.0
FRB 7745   234.2  35    149.2  0.165    26.2    3.0
FRB 7746   392.0  35    307.0  0.184    34.4    4.0
FRB 7747   286.4  35    201.4  0.084    28.7    4.0
FRB 7748   590.1  35    505.1  0.089    25.3    2.0
FRB 7749   529.5  35    444.5  0.411    30.0    2.0
FRB 7750   403.1  35    318.1  0.169    71.2    3.0
FRB 7751   456.9  35    371.9  0.493    10.2    2.0
FRB 7752   348.1  35    263.1  0.431    14.1    1.0
FRB 7753   586.9  35    501.9  0.418    16.7    3.0
FRB 7755  1412.5  35   1327.5  0.268    10.7    4.0
FRB 7756   298.1  35    213.1  0.010   117.5    2.0
FRB 7757   206.3  35    121.3  0.128    34.8    3.0
FRB 7758   452.5  35    367.5  0.024   131.6    2.0
FRB 7759   184.6  35     99.6  0.098    20.9    2.0
FRB 7761   494.1  35    409.1  0.222    11.2    3.0
FRB 7763   980.2  35    895.2  0.454    21.5    1.0
FRB 7764   272.4  35    187.4  0.061    10.2    3.0
FRB 7765   532.4  35    447.4  0.193    24.1    3.0
FRB 7766   415.2  35    330.2  0.353    21.3    1.0
FRB 7767   396.3  35    311.3  0.370    57.8    2.0
FRB 7769   228.2  35    143.2  0.076    40.7    3.0
FRB 7770   261.0  35    176.0  0.108    14.3    3.0
FRB 7771   703.6  35    618.6  0.559    12.4    3.0
FRB 7772   273.3  35    188.3  0.195    29.8    3.0
FRB 7774   248.3  35    163.3  0.107    14.3    1.0
FRB 7775   184.0  35     99.0  0.071    22.1    1.0
FRB 7776   503.0  35    418.0  0.180    15.9    3.0
FRB 7777   438.8  35    353.8  0.273    19.5    3.0
FRB 7778   290.3  35    205.3  0.292    19.2    2.0
FRB 7779   344.0  35    259.0  0.062    48.9    3.0
FRB 7780   401.0  35    316.0  0.295    53.3    3.0
FRB 7781   303.9  35    218.9  0.096    86.3    4.0
FRB 7782   551.4  35    466.4  0.206    16.2    2.0
FRB 7783   951.7  35    866.7  0.277     9.5    4.0
FRB 7785   314.1  35    229.1  0.310    12.2    2.0
FRB 7786   419.4  35    334.4  0.214    30.6    2.0
FRB 7787   587.9  35    502.9  0.012    14.3    2.0
FRB 7789   320.3  35    235.3  0.317    15.6    3.0
FRB 7790   666.9  35    581.9  0.718     9.5    2.0
FRB 7791   371.3  35    286.3  0.171    41.7    2.0
FRB 7792   624.5  35    539.5  0.481    14.2    1.0
FRB 7793   522.1  35    437.1  0.379    17.4    3.0
FRB 7795   604.8  35    519.8  0.503    10.3    1.0
FRB 7796   422.9  35    337.9  0.274    22.4    4.0
FRB 7797   346.2  35    261.2  0.272    32.2    4.0
FRB 7798  3688.3  35   3603.3  0.054    55.7    4.0
FRB 7799   228.4  35    143.4  0.111    17.2    6.0
FRB 7801   351.4  35    266.4  0.329    10.6    4.0
FRB 7802   421.2  35    336.2  0.144    14.0    0.0
FRB 7803   242.1  35    157.1  0.137    14.7    2.0
FRB 7804   266.2  35    181.2  0.027    15.2    3.0
FRB 7806   248.4  35    163.4  0.133     9.8    2.0
FRB 7807   365.0  35    280.0  0.199    19.0    3.0
FRB 7809   394.5  35    309.5  0.114    79.0    3.0
FRB 7810   201.2  35    116.2  0.128    11.0    3.0
FRB 7812   446.6  35    361.6  0.273    16.1    3.0
FRB 7813  1095.4  35   1010.4  0.098    13.0    4.0
FRB 7815   184.5  35     99.5  0.089    26.4    2.0
FRB 7816   466.7  35    381.7  0.546     9.8    1.0
FRB 7817   535.1  35    450.1  0.346    15.0    3.0
FRB 7818   393.1  35    308.1  0.316    41.7    2.0
FRB 7819   495.2  35    410.2  0.303    25.6    2.0
FRB 7820   251.3  35    166.3  0.090    28.3    2.0
FRB 7822   438.4  35    353.4  0.534    10.5    2.0
FRB 7823   538.8  35    453.8  0.347    24.5    3.0
FRB 7825   569.2  35    484.2  0.261     9.3    2.0
FRB 7827   309.9  35    224.9  0.232    20.7    2.0
FRB 7828   505.1  35    420.1  0.127    86.8    4.0
FRB 7829   747.8  35    662.8  0.644     9.5    2.0
FRB 7830   432.4  35    347.4  0.335    16.1    3.0
FRB 7831   187.6  35    102.6  0.091    14.1    3.0
FRB 7832   517.5  35    432.5  0.077    46.8    3.0
FRB 7833   305.7  35    220.7  0.122    17.3    4.0
FRB 7835   198.8  35    113.8  0.012    25.8    3.0
FRB 7836   253.1  35    168.1  0.155    10.6    5.0
FRB 7837   217.2  35    132.2  0.057    14.8    5.0
FRB 7838   234.4  35    149.4  0.089    20.7    2.0
FRB 7839   370.6  35    285.6  0.362    31.1    2.0
FRB 7841  1572.4  35   1487.4  0.385    11.8    2.0
FRB 7843   507.2  35    422.2  0.264     9.1    2.0
FRB 7845   299.2  35    214.2  0.197    15.5    3.0
FRB 7846   308.4  35    223.4  0.283   143.2    2.0
FRB 7847   334.9  35    249.9  0.269     9.8    2.0
FRB 7849   293.2  35    208.2  0.064    13.9    4.0
FRB 7850   892.4  35    807.4  0.395    21.4    2.0
FRB 7852   589.1  35    504.1  0.261    18.2    4.0
FRB 7853   198.8  35    113.8  0.029    10.4    2.0
FRB 7854   639.5  35    554.5  0.011    37.0    4.0
FRB 7856   435.6  35    350.6  0.035   139.4    3.0
FRB 7857   472.4  35    387.4  0.501     9.6    3.0
FRB 7859   237.1  35    152.1  0.050    11.8    2.0
FRB 7860   340.3  35    255.3  0.317    17.8    2.0
FRB 7861   274.5  35    189.5  0.159    15.3    2.0
FRB 7862  1053.2  35    968.2  0.236    19.1    5.0
FRB 7864   372.0  35    287.0  0.163    18.2    2.0
FRB 7865   510.3  35    425.3  0.169    91.5    3.0
FRB 7866   683.1  35    598.1  0.646    16.4    1.0
FRB 7867   392.7  35    307.7  0.381    25.9    3.0
FRB 7868   484.5  35    399.5  0.578    12.3    3.0
FRB 7869   361.1  35    276.1  0.183    30.0    1.0
FRB 7870   246.9  35    161.9  0.084    18.1    2.0
FRB 7871   209.8  35    124.8  0.127    21.3    4.0
FRB 7873   549.0  35    464.0  0.522     9.8    1.0
FRB 7875   259.3  35    174.3  0.064    11.2    3.0
FRB 7876   390.4  35    305.4  0.292    20.4    3.0
FRB 7878   404.9  35    319.9  0.440    14.5    1.0
FRB 7879  1787.7  35   1702.7  0.367    12.3    3.0
FRB 7880   383.2  35    298.2  0.274    18.6    3.0
FRB 7882   400.7  35    315.7  0.291    17.3    4.0
FRB 7883   532.7  35    447.7  0.322    14.5    4.0
FRB 7884   230.7  35    145.7  0.182    49.4    3.0
FRB 7885   533.8  35    448.8  0.545     9.3    3.0
FRB 7887   240.8  35    155.8  0.125    14.6    4.0
FRB 7888   854.1  35    769.1  0.374     9.7    4.0
FRB 7889   479.4  35    394.4  0.380    16.1    2.0
FRB 7890   308.1  35    223.1  0.150   116.0    3.0
FRB 7891   720.2  35    635.2  0.188    19.8    2.0
FRB 7893   354.6  35    269.6  0.341    16.6    2.0
FRB 7894   669.2  35    584.2  0.667    12.2    2.0
FRB 7895   380.0  35    295.0  0.222    40.0    4.0
FRB 7896   449.0  35    364.0  0.381    15.1    3.0
FRB 7898   536.2  35    451.2  0.291    11.8    4.0
FRB 7900   943.4  35    858.4  0.178     9.3    2.0
FRB 7901   305.5  35    220.5  0.280    15.1    3.0
FRB 7902   493.3  35    408.3  0.583    14.1    2.0
FRB 7904   426.1  35    341.1  0.099    11.7    4.0
FRB 7905   330.7  35    245.7  0.133    26.1    2.0
FRB 7907   605.0  35    520.0  0.550    10.6    1.0
FRB 7909   136.5  35     51.5  0.012    32.6    2.0
FRB 7910   353.1  35    268.1  0.333    19.1    1.0
FRB 7911   531.6  35    446.6  0.362    14.7    3.0
FRB 7912   733.7  35    648.7  0.329    16.6    4.0
FRB 7913   468.0  35    383.0  0.137    12.5    2.0
FRB 7915   567.4  35    482.4  0.107    23.5    2.0
FRB 7916   282.8  35    197.8  0.284    23.8    3.0
FRB 7917   617.3  35    532.3  0.233     9.6    4.0
FRB 7919   655.7  35    570.7  0.703    20.5    1.0
FRB 7920   376.3  35    291.3  0.145    12.0    2.0
FRB 7921   698.9  35    613.9  0.109    19.1    4.0
FRB 7922   343.8  35    258.8  0.235    17.0    1.0
FRB 7923   328.2  35    243.2  0.018    98.9    3.0
FRB 7924   521.0  35    436.0  0.515    19.6    1.0
FRB 7925   575.0  35    490.0  0.256    18.4    2.0
FRB 7926   541.1  35    456.1  0.146    16.0    5.0
FRB 7928   277.5  35    192.5  0.337     9.9    4.0
FRB 7930   357.9  35    272.9  0.133    22.9    2.0
FRB 7931   160.7  35     75.7  0.079    54.2    2.0
FRB 7932   281.3  35    196.3  0.156    29.9    1.0
FRB 7933   470.8  35    385.8  0.040    60.4    5.0
FRB 7934   433.2  35    348.2  0.135    10.5    4.0
FRB 7936   288.0  35    203.0  0.375    12.2    1.0
FRB 7937   637.5  35    552.5  0.470    17.5    2.0
FRB 7938   293.9  35    208.9  0.205    60.8    2.0
FRB 7940   160.8  35     75.8  0.021    52.3    2.0
FRB 7941   272.9  35    187.9  0.039    11.1    3.0
FRB 7942   361.6  35    276.6  0.294    16.5    2.0
FRB 7943   522.4  35    437.4  0.460    48.0    2.0
FRB 7945   655.6  35    570.6  0.734    14.7    1.0
FRB 7946   186.8  35    101.8  0.093    11.3    3.0
FRB 7948   238.2  35    153.2  0.012    56.3    2.0
FRB 7949  1705.1  35   1620.1  0.187    16.0    3.0
FRB 7950   603.8  35    518.8  0.500    11.1    3.0
FRB 7952   347.6  35    262.6  0.173     9.5    3.0
FRB 7953   540.4  35    455.4  0.412    22.2    0.0
FRB 7955   155.2  35     70.2  0.100    28.6    2.0
FRB 7956   471.9  35    386.9  0.047    11.0    3.0
FRB 7957   770.5  35    685.5  0.451    15.6    1.0
FRB 7958   145.2  35     60.2  0.058    41.4    3.0
FRB 7960   578.2  35    493.2  0.347    21.3    3.0
FRB 7961   378.3  35    293.3  0.233    11.6    2.0
FRB 7962   277.7  35    192.7  0.118    20.6    4.0
FRB 7963   552.2  35    467.2  0.004    22.2    1.0
FRB 7964   578.1  35    493.1  0.038    71.1    2.0
FRB 7966   375.8  35    290.8  0.365    12.8    2.0
FRB 7968   577.3  35    492.3  0.461    34.2    3.0
FRB 7969   770.5  35    685.5  0.041   168.9    3.0
FRB 7970   475.0  35    390.0  0.579    11.3    3.0
FRB 7971   437.1  35    352.1  0.562    19.4    2.0
FRB 7972   251.7  35    166.7  0.011    17.6    3.0
FRB 7974   458.3  35    373.3  0.285    15.9    4.0
FRB 7975   713.1  35    628.1  0.360    21.7    3.0
FRB 7976   234.6  35    149.6  0.166    10.5    4.0
FRB 7978   274.1  35    189.1  0.254    12.6    1.0
FRB 7979   203.5  35    118.5  0.058    17.2    3.0
FRB 7981   426.6  35    341.6  0.472    18.1    1.0
FRB 7982   317.5  35    232.5  0.286    15.1    3.0
FRB 7983   301.9  35    216.9  0.254    21.5    2.0
FRB 7984   586.9  35    501.9  0.105     9.5    3.0
FRB 7985   527.2  35    442.2  0.077    28.0    4.0
FRB 7986   402.1  35    317.1  0.259    19.9    2.0
FRB 7987   571.5  35    486.5  0.275    18.5    2.0
FRB 7988   246.8  35    161.8  0.108    15.4    4.0
FRB 7990   700.3  35    615.3  0.154   166.8    5.0
FRB 7991   329.6  35    244.6  0.259    22.0    3.0
FRB 7992   856.2  35    771.2  0.268    15.5    2.0
FRB 7993   227.0  35    142.0  0.257     9.3    2.0
FRB 7994   841.4  35    756.4  0.396    17.4    3.0
FRB 7996   207.0  35    122.0  0.001    26.3    3.0
FRB 7997   728.9  35    643.9  0.428     9.6    2.0
FRB 7999   277.7  35    192.7  0.061    14.0    2.0
FRB 8000   657.7  35    572.7  0.180    11.1    3.0
FRB 8001   675.8  35    590.8  0.026    63.9    3.0
FRB 8002   549.7  35    464.7  0.616    20.9    2.0
FRB 8003   293.8  35    208.8  0.185    20.3    2.0
FRB 8004   391.5  35    306.5  0.382    29.9    2.0
FRB 8006   496.9  35    411.9  0.614     9.8    3.0
FRB 8007   468.1  35    383.1  0.505    23.1    2.0
FRB 8009   198.9  35    113.9  0.039    56.7    2.0
FRB 8010   434.5  35    349.5  0.161    27.9    1.0
FRB 8011   192.6  35    107.6  0.009    11.9    3.0
FRB 8012   153.8  35     68.8  0.057    23.9    2.0
FRB 8013  1068.5  35    983.5  0.135    22.2    3.0
FRB 8014   550.4  35    465.4  0.341    16.4    0.0
FRB 8015   775.5  35    690.5  0.428    35.2    1.0
FRB 8016   162.5  35     77.5  0.088    37.2    1.0
FRB 8017   360.9  35    275.9  0.062    23.2    1.0
FRB 8018   235.9  35    150.9  0.082    31.7    3.0
FRB 8019   698.7  35    613.7  0.670    20.4    1.0
FRB 8020   919.7  35    834.7  0.562    21.0    2.0
FRB 8021   306.2  35    221.2  0.277    27.6    4.0
FRB 8023   586.5  35    501.5  0.424    10.3    0.0
FRB 8025   503.9  35    418.9  0.177     9.1    6.0
FRB 8027   455.0  35    370.0  0.307    72.1    3.0
FRB 8028   459.3  35    374.3  0.185    14.7    3.0
FRB 8029   594.1  35    509.1  0.553    13.8    3.0
FRB 8031   150.4  35     65.4  0.004    20.0    5.0
FRB 8032   708.8  35    623.8  0.569    17.6    2.0
FRB 8033   431.1  35    346.1  0.073   295.0    3.0
FRB 8034   476.7  35    391.7  0.095    10.0    2.0
FRB 8035   295.7  35    210.7  0.189    22.7    2.0
FRB 8036   420.0  35    335.0  0.114    16.7    3.0
FRB 8037  1112.2  35   1027.2  0.097    24.7    3.0
FRB 8039   423.3  35    338.3  0.307    37.9    1.0
FRB 8040   275.0  35    190.0  0.071    59.2    3.0
FRB 8041   715.1  35    630.1  0.489    37.0    2.0
FRB 8042   702.9  35    617.9  0.656    18.6    2.0
FRB 8043   732.0  35    647.0  0.407    11.1    3.0
FRB 8045   318.8  35    233.8  0.216    30.0    3.0
FRB 8046   476.4  35    391.4  0.383     9.4    1.0
FRB 8047   311.6  35    226.6  0.228    68.8    2.0
FRB 8049   369.7  35    284.7  0.217    12.6    4.0
FRB 8050   299.6  35    214.6  0.303    58.8    2.0
FRB 8051   451.6  35    366.6  0.214    35.2    1.0
FRB 8052   342.7  35    257.7  0.303    20.7    2.0
FRB 8054   486.0  35    401.0  0.473    13.4    2.0
FRB 8056   441.3  35    356.3  0.414    13.1    2.0
FRB 8057   237.1  35    152.1  0.079    32.7    2.0
FRB 8058   378.0  35    293.0  0.254    21.2    0.0
FRB 8059   780.0  35    695.0  0.007    14.3    2.0
FRB 8060   254.7  35    169.7  0.177    14.2    4.0
FRB 8061   271.8  35    186.8  0.095    76.3    1.0
FRB 8062   149.0  35     64.0  0.062    28.1    4.0
FRB 8064   456.9  35    371.9  0.392    26.9    3.0
FRB 8065   516.0  35    431.0  0.112    11.2    3.0
FRB 8067   205.4  35    120.4  0.151    18.8    4.0
FRB 8068   659.2  35    574.2  0.185    10.8    4.0
FRB 8070   275.8  35    190.8  0.325     9.0    2.0
FRB 8071   113.4  35     28.4  0.003    21.2    2.0
FRB 8073   214.5  35    129.5  0.121     9.2    3.0
FRB 8075   344.9  35    259.9  0.237     9.5    3.0
FRB 8077   248.5  35    163.5  0.107    11.0    3.0
FRB 8078   269.9  35    184.9  0.172    19.5    3.0
FRB 8079   433.7  35    348.7  0.363    15.5    2.0
FRB 8080   257.2  35    172.2  0.061    32.8    5.0
FRB 8081   348.1  35    263.1  0.188    22.6    2.0
FRB 8082   426.0  35    341.0  0.444    24.6    2.0
FRB 8083   155.3  35     70.3  0.096    21.8    2.0
FRB 8084   332.4  35    247.4  0.201    24.5    3.0
FRB 8085   309.4  35    224.4  0.220    61.1    2.0
FRB 8086   177.9  35     92.9  0.101    38.3    3.0
FRB 8087   458.6  35    373.6  0.096    48.7    3.0
FRB 8088   233.6  35    148.6  0.126    51.3    2.0
FRB 8089   503.0  35    418.0  0.442    25.9    3.0
FRB 8091   206.5  35    121.5  0.018    22.5    2.0
FRB 8092   205.2  35    120.2  0.119    14.8    3.0
FRB 8093   533.4  35    448.4  0.507    19.7    2.0
FRB 8094   652.5  35    567.5  0.358    10.6    3.0
FRB 8096   148.4  35     63.4  0.061    13.3    2.0
FRB 8097   290.8  35    205.8  0.050   154.2    0.0
FRB 8099   351.2  35    266.2  0.020    36.3    4.0
FRB 8100   305.3  35    220.3  0.375    16.3    1.0
FRB 8101   819.6  35    734.6  0.453    15.0    3.0
FRB 8102   156.6  35     71.6  0.052     9.4    2.0
FRB 8103   236.0  35    151.0  0.029    36.8    3.0
FRB 8105   722.3  35    637.3  0.439    16.7    2.0
FRB 8106   683.1  35    598.1  0.271    11.1    3.0
FRB 8107   292.3  35    207.3  0.039    46.3    3.0
FRB 8108   357.7  35    272.7  0.211    22.5    4.0
FRB 8109   151.4  35     66.4  0.047    26.1    3.0
FRB 8111   449.2  35    364.2  0.334    16.7    3.0
FRB 8112   395.4  35    310.4  0.397    18.8    1.0
FRB 8113   411.7  35    326.7  0.114    22.2    3.0
FRB 8114   580.7  35    495.7  0.628     9.4    3.0
FRB 8115   930.6  35    845.6  0.129    41.2    1.0
FRB 8117   294.4  35    209.4  0.217    39.6    3.0
FRB 8118   316.2  35    231.2  0.034    10.3    5.0
FRB 8119   258.9  35    173.9  0.048    15.3    1.0
FRB 8121   230.0  35    145.0  0.001    14.1    1.0
FRB 8122   473.4  35    388.4  0.105    45.1    2.0
FRB 8123   616.5  35    531.5  0.172    16.9    2.0
FRB 8124   320.6  35    235.6  0.104    10.8    2.0
FRB 8125   263.8  35    178.8  0.030    17.8    1.0
